epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9024,2.2671,3.94791,1.20297,0.01573,0.83333,0.055,0.02283,1.40965,3.98327,0.85945,0.000275593,0.000275593,0.000275593
2,19.0345,1.44929,3.34323,0.9529,0.01586,0.78571,0.35291,0.16732,1.27401,3.47159,0.82584,0.000561256,0.000561256,0.000561256
3,24.6992,1.37634,2.42981,0.89845,0.97476,0.28571,0.63272,0.38627,1.40212,2.1744,0.82852,0.000846365,0.000846365,0.000846365
4,30.1192,1.24919,1.54732,0.88357,0.75915,0.85903,0.93038,0.59009,1.2638,1.20489,0.84438,0.0011305,0.0011305,0.0011305
5,35.6214,1.22986,1.02631,0.8871,0.9799,0.9702,0.98886,0.67363,1.19063,0.81453,0.82722,0.00141325,0.00141325,0.00141325
6,40.9871,1.19699,0.86341,0.89008,0.99242,0.9973,0.995,0.70345,1.15944,0.7204,0.8227,0.00142029,0.00142029,0.00142029
7,46.4525,1.1278,0.77661,0.87021,0.99185,1,0.995,0.76067,0.92841,0.66516,0.80441,0.00141647,0.00141647,0.00141647
8,51.8411,1.07467,0.74919,0.86409,0.99481,1,0.995,0.77252,0.88759,0.72679,0.7864,0.00141196,0.00141196,0.00141196
9,57.2858,1.04025,0.67567,0.8605,0.99452,1,0.995,0.7727,0.92983,0.67393,0.809,0.00140678,0.00140678,0.00140678
10,62.6795,1.01973,0.66783,0.85716,0.99076,1,0.995,0.74292,0.94692,0.65228,0.78135,0.00140091,0.00140091,0.00140091
11,67.9873,0.95597,0.62413,0.83664,0.99527,1,0.995,0.79646,0.77233,0.54603,0.77067,0.00139438,0.00139438,0.00139438
12,73.3087,0.94455,0.61045,0.8455,0.99351,1,0.995,0.80192,0.81785,0.52059,0.7682,0.00138718,0.00138718,0.00138718
13,78.7672,0.89904,0.57758,0.84429,0.9939,1,0.995,0.79096,0.80035,0.52715,0.77061,0.00137933,0.00137933,0.00137933
14,84.083,0.95585,0.60225,0.84562,0.98439,1,0.995,0.78845,0.7614,0.52838,0.77257,0.00137082,0.00137082,0.00137082
15,89.7343,0.97651,0.6003,0.84917,0.9818,1,0.995,0.79439,0.84488,0.5531,0.77521,0.00136168,0.00136168,0.00136168
16,95.4583,0.93118,0.59335,0.83423,0.99073,1,0.995,0.81216,0.80055,0.48377,0.77633,0.0013519,0.0013519,0.0013519
17,101.123,0.87842,0.57197,0.84031,0.99396,1,0.995,0.81881,0.70278,0.47596,0.7528,0.0013415,0.0013415,0.0013415
18,106.74,0.9238,0.56818,0.84852,0.99474,1,0.995,0.82178,0.78789,0.49353,0.76909,0.0013305,0.0013305,0.0013305
19,112.266,0.86801,0.53944,0.82969,0.99041,1,0.995,0.83014,0.703,0.47473,0.75842,0.00131888,0.00131888,0.00131888
20,117.836,0.84565,0.56029,0.82767,0.99453,1,0.995,0.81565,0.6875,0.46034,0.74938,0.00130668,0.00130668,0.00130668
21,123.319,0.83596,0.53206,0.82577,0.99294,1,0.995,0.81587,0.7818,0.47391,0.76147,0.00129391,0.00129391,0.00129391
22,128.632,0.84834,0.53415,0.82943,0.99106,1,0.995,0.79342,0.83932,0.47759,0.76181,0.00128057,0.00128057,0.00128057
23,133.316,0.81382,0.5245,0.81749,0.99449,1,0.995,0.82849,0.69036,0.45286,0.74862,0.00126667,0.00126667,0.00126667
24,138.653,0.85992,0.52279,0.8346,0.99378,1,0.995,0.81023,0.67936,0.47117,0.75121,0.00125224,0.00125224,0.00125224
25,143.968,0.8264,0.50005,0.82363,0.99504,1,0.995,0.81372,0.69606,0.43666,0.7557,0.00123728,0.00123728,0.00123728
26,149.354,0.81048,0.50493,0.82709,0.9913,1,0.995,0.81763,0.70232,0.45377,0.75039,0.00122182,0.00122182,0.00122182
27,154.71,0.80726,0.49763,0.83098,0.99392,1,0.995,0.81241,0.75481,0.44655,0.75096,0.00120586,0.00120586,0.00120586
28,160.153,0.83096,0.50135,0.82142,0.99432,1,0.995,0.8289,0.71983,0.45596,0.75246,0.00118943,0.00118943,0.00118943
29,165.509,0.79516,0.48161,0.82975,0.99299,1,0.995,0.81861,0.74952,0.4627,0.75622,0.00117253,0.00117253,0.00117253
30,170.794,0.79522,0.48585,0.82531,0.9927,1,0.995,0.79309,0.77213,0.44505,0.75342,0.00115519,0.00115519,0.00115519
31,176.126,0.79798,0.49117,0.82374,0.99552,1,0.995,0.82094,0.71997,0.42704,0.75377,0.00113742,0.00113742,0.00113742
32,181.211,0.80627,0.49385,0.82176,0.99431,1,0.995,0.83405,0.683,0.41653,0.74862,0.00111924,0.00111924,0.00111924
33,186.476,0.82919,0.48428,0.82273,0.9931,1,0.995,0.82248,0.79148,0.43129,0.74671,0.00110066,0.00110066,0.00110066
34,191.781,0.8125,0.48633,0.82745,0.9949,1,0.995,0.82996,0.69758,0.43406,0.74422,0.00108172,0.00108172,0.00108172
35,197.172,0.83053,0.5029,0.8291,0.99223,1,0.995,0.78917,0.79632,0.44935,0.75444,0.00106242,0.00106242,0.00106242
36,202.645,0.78304,0.48638,0.81848,0.99548,1,0.995,0.79985,0.7229,0.45042,0.75175,0.00104278,0.00104278,0.00104278
37,207.933,0.76227,0.47918,0.82268,0.99411,1,0.995,0.82922,0.68816,0.42662,0.74401,0.00102282,0.00102282,0.00102282
38,213.096,0.75383,0.46396,0.82314,0.99409,1,0.995,0.83734,0.69429,0.41713,0.74869,0.00100257,0.00100257,0.00100257
39,218.462,0.73792,0.44638,0.81118,0.9913,1,0.995,0.83303,0.67458,0.40529,0.74464,0.00098204,0.00098204,0.00098204
40,223.772,0.73474,0.45233,0.81731,0.99435,1,0.995,0.82033,0.6863,0.41551,0.74749,0.000961253,0.000961253,0.000961253
41,229.117,0.78102,0.4592,0.82328,0.99551,1,0.995,0.8132,0.732,0.41808,0.74684,0.00094023,0.00094023,0.00094023
42,234.46,0.76159,0.45644,0.8203,0.99618,1,0.995,0.82732,0.7131,0.41675,0.74378,0.000918991,0.000918991,0.000918991
43,239.741,0.74616,0.45319,0.80466,0.99522,1,0.995,0.84457,0.66605,0.40258,0.74216,0.000897557,0.000897557,0.000897557
44,245.211,0.72192,0.44549,0.82314,0.99428,1,0.995,0.81488,0.70901,0.43399,0.74656,0.00087595,0.00087595,0.00087595
45,250.562,0.75977,0.48012,0.81637,0.99429,1,0.995,0.84263,0.6587,0.40691,0.74217,0.00085419,0.00085419,0.00085419
46,255.893,0.73859,0.45466,0.8166,0.99211,1,0.995,0.82583,0.70809,0.41682,0.74639,0.0008323,0.0008323,0.0008323
47,261.367,0.71804,0.45267,0.81944,0.99068,1,0.995,0.82972,0.67206,0.41253,0.74358,0.0008103,0.0008103,0.0008103
48,266.664,0.72377,0.44224,0.81273,0.9905,1,0.995,0.81672,0.72538,0.40535,0.74382,0.000788213,0.000788213,0.000788213
49,271.946,0.72672,0.44851,0.81425,0.99094,1,0.995,0.82768,0.65407,0.40559,0.7397,0.00076606,0.00076606,0.00076606
50,277.276,0.75808,0.44204,0.82231,0.99419,1,0.995,0.84678,0.62148,0.39041,0.74028,0.000743864,0.000743864,0.000743864
51,282.674,0.70392,0.42611,0.81833,0.99482,1,0.995,0.85721,0.66156,0.38391,0.74562,0.000721645,0.000721645,0.000721645
52,288.121,0.67498,0.41871,0.81682,0.99407,1,0.995,0.84423,0.64011,0.38034,0.73859,0.000699426,0.000699426,0.000699426
53,293.508,0.70534,0.42588,0.81929,0.99517,1,0.995,0.85362,0.64214,0.41026,0.74147,0.00067723,0.00067723,0.00067723
54,298.789,0.7194,0.43605,0.80617,0.99486,1,0.995,0.82475,0.70084,0.4118,0.74128,0.000655077,0.000655077,0.000655077
55,304.294,0.732,0.43424,0.80769,0.99454,1,0.995,0.8156,0.71405,0.39968,0.74302,0.00063299,0.00063299,0.00063299
56,309.692,0.74978,0.44291,0.81708,0.99338,1,0.995,0.83625,0.65866,0.38765,0.73886,0.00061099,0.00061099,0.00061099
57,315.084,0.71693,0.43512,0.82402,0.99452,1,0.995,0.82706,0.64987,0.3907,0.74173,0.0005891,0.0005891,0.0005891
58,320.484,0.70219,0.42154,0.80916,0.99564,1,0.995,0.8315,0.70157,0.39586,0.7407,0.00056734,0.00056734,0.00056734
59,326.012,0.68418,0.41179,0.81642,0.99399,1,0.995,0.84174,0.6766,0.38807,0.73824,0.000545733,0.000545733,0.000545733
60,331.354,0.68905,0.42724,0.82,0.99365,1,0.995,0.82321,0.70422,0.36622,0.7424,0.000524299,0.000524299,0.000524299
61,336.64,0.70708,0.4189,0.81228,0.99566,1,0.995,0.82374,0.68207,0.3718,0.74181,0.00050306,0.00050306,0.00050306
62,341.96,0.68629,0.42737,0.80938,0.99588,1,0.995,0.84054,0.66747,0.38172,0.74066,0.000482037,0.000482037,0.000482037
63,347.252,0.7145,0.43445,0.81086,0.99518,1,0.995,0.83183,0.69371,0.39358,0.74298,0.00046125,0.00046125,0.00046125
64,352.617,0.69928,0.42379,0.80758,0.99488,1,0.995,0.84978,0.63803,0.36854,0.73974,0.00044072,0.00044072,0.00044072
65,358.046,0.67167,0.42167,0.82313,0.9952,1,0.995,0.84855,0.61355,0.37136,0.73805,0.000420468,0.000420468,0.000420468
66,363.121,0.68275,0.40791,0.81254,0.99549,1,0.995,0.84326,0.63403,0.35744,0.74006,0.000400513,0.000400513,0.000400513
67,367.74,0.66122,0.40134,0.8153,0.99568,1,0.995,0.84672,0.65225,0.37079,0.73717,0.000380874,0.000380874,0.000380874
68,370.656,0.67671,0.41,0.81722,0.99485,1,0.995,0.85791,0.61509,0.3411,0.73754,0.000361572,0.000361572,0.000361572
69,373.586,0.69983,0.42183,0.81166,0.99421,1,0.995,0.84888,0.65712,0.3667,0.7431,0.000342625,0.000342625,0.000342625
70,376.353,0.64924,0.40563,0.81717,0.99494,1,0.995,0.8369,0.6545,0.35797,0.73952,0.000324053,0.000324053,0.000324053
71,379.086,0.65967,0.3993,0.80206,0.99477,1,0.995,0.84447,0.64688,0.36771,0.73655,0.000305872,0.000305872,0.000305872
72,381.962,0.67523,0.40906,0.81677,0.99436,1,0.995,0.84657,0.64611,0.37997,0.73927,0.000288102,0.000288102,0.000288102
73,387.625,0.67502,0.41253,0.81001,0.99407,1,0.995,0.85779,0.63236,0.36369,0.73825,0.00027076,0.00027076,0.00027076
74,393.697,0.62297,0.38352,0.80906,0.9949,1,0.995,0.84516,0.63606,0.35697,0.73926,0.000253863,0.000253863,0.000253863
75,399.777,0.66887,0.39137,0.81093,0.99486,1,0.995,0.84034,0.63713,0.36663,0.73891,0.000237427,0.000237427,0.000237427
76,405.806,0.66051,0.39674,0.80809,0.99545,1,0.995,0.86104,0.62601,0.36245,0.73674,0.000221469,0.000221469,0.000221469
